"Number","Microseconds"
100,0 
600,1 
1100,2
1600,2
2100,4
2600,6
3100,6
3600,14
4100,10
4600,10
5100,12
5600,13
6100,11
6600,16
7100,16
7600,21
8100,17
8600,15
9100,19
9600,17
10100,28
10600,55
11100,25
11600,78
12100,39
12600,24
13100,87
13600,42
14100,139
14600,31
15100,33
15600,39
16100,86
16600,38
17100,109
17600,32
18100,498
18600,39
19100,46
19600,101
20100,87
20600,77
21100,52
21600,56
22100,93
22600,57
23100,139
23600,42
24100,101
24600,56
25100,83
25600,177
26100,152
26600,99
27100,62
27600,116
28100,68
28600,140
29100,55
29600,161
30100,177
30600,199
31100,86
31600,69
32100,178
32600,60
33100,167
33600,276
34100,141
34600,75
35100,144
35600,166
36100,127
36600,120
37100,85
37600,302
38100,119
38600,93
39100,240
39600,170
40100,79
40600,79
41100,564
41600,102
42100,155
42600,180
43100,155
43600,162
44100,205
44600,213
45100,207
45600,204
46100,159
46600,175
47100,309
47600,200
48100,208
48600,140
49100,197
49600,204
50100,144
50600,148
51100,193
51600,169
52100,182
52600,331
53100,317
53600,159
54100,185
54600,153
55100,220
55600,260
56100,188
56600,193
57100,167
57600,163
58100,330
58600,200
59100,173
59600,175
60100,189
60600,217
61100,218
61600,231
62100,220
62600,283
63100,227
63600,167
64100,239
64600,243
65100,202
65600,462
66100,188
66600,282
67100,675
67600,236
68100,303
68600,300
69100,174
69600,315
70100,187
70600,189
71100,287
71600,317
72100,224
72600,183
73100,361
73600,274
74100,298
74600,252
75100,580
75600,293
76100,257
76600,350
77100,311
77600,364
78100,287
78600,334
79100,263
79600,236
80100,344
80600,167
81100,306
81600,266
82100,305
82600,342
83100,484
83600,264
84100,288
84600,209
85100,343
85600,414
86100,367
86600,299
87100,407
87600,526
88100,361
88600,530
89100,228
89600,629
90100,857
90600,495
91100,348
91600,336
92100,421
92600,384
93100,1299
93600,675
94100,310
94600,322
95100,593
95600,347
96100,306
96600,539
97100,368
97600,438
98100,469
98600,323
99100,342
99600,547